Country,Year,Product,Value,total emissions CO2 (KgCo2),Energy Type,consumption (GWh),iso_alpha
Lithuania,2023,Combustible Renewables,78.8928,18145.344,,,
Lithuania,2023,Other Combustible Non-Renewables,24.8316,20361.912,,,
Lithuania,2023,Solar,1.0225,49.08,Solar,930.9261,LTU
Lithuania,2023,Not Specified,0.005,,,,
Lithuania,2023,Wind,319.2479,3671.3508500000003,Wind,6512.248,LTU
Luxembourg,2023,Hydro,114.6729,2752.1496,Hydro,234.65222,LUX
Luxembourg,2023,Natural Gas,9.3508,4581.892,Natural Gas,5734.5705,LUX
Luxembourg,2023,Combustible Renewables,17.8633,4108.558999999999,,,
Luxembourg,2023,Solar,4.5239,217.1472,Solar,784.15495,LUX
Luxembourg,2023,Wind,57.9314,666.2111,Wind,1207.5703,LUX
Mexico,2023,Nuclear,1148.1092,13777.3104,Nuclear,30874.949,MEX
Mexico,2023,Hydro,984.1831,23620.394399999997,Hydro,52990.818,MEX
Mexico,2023,Coal-Peat and Manufactured Gases,1191.7601,977243.282,Coal-Peat and Manufactured Gases,73321.87999999999,MEX
Mexico,2023,Oil and Petroleum Products,1637.0851,1178701.272,Oil and Petroleum Products,1065958.1,MEX
Mexico,2023,Natural Gas,15198.0392,7447039.208,Natural Gas,975727.4,MEX
Mexico,2023,Combustible Renewables,271.3765,62416.59500000001,,,
Mexico,2023,Other Combustible Non-Renewables,14.6918,12047.276,,,
Mexico,2023,Geothermal,319.6001,12144.803800000002,,,
Mexico,2023,Solar,1003.8802,48186.249599999996,Solar,70509.25,MEX
Mexico,2023,Not Specified,1241.6045,,,,
Mexico,2023,Wind,1747.4403,20095.563449999998,Wind,56241.932,MEX
Netherlands,2023,Nuclear,303.384,3640.608,Nuclear,9930.757,NLD
Netherlands,2023,Hydro,1.224,29.376,Hydro,176.6411,NLD
Netherlands,2023,Coal-Peat and Manufactured Gases,1005.1256,824202.992,Coal-Peat and Manufactured Gases,43991.41,NLD
Netherlands,2023,Oil and Petroleum Products,106.8231,76912.632,Oil and Petroleum Products,473084.60000000003,NLD
Netherlands,2023,Natural Gas,3818.0439,1870841.511,Natural Gas,257722.23,NLD
Netherlands,2023,Combustible Renewables,639.6527,147120.121,,,
Netherlands,2023,Other Combustible Non-Renewables,130.8249,107276.41800000002,,,
Netherlands,2023,Solar,246.6189,11837.707199999999,Solar,55000.298,NLD
Netherlands,2023,Not Specified,46.4375,,,,
Netherlands,2023,Wind,4110.2152,47267.474799999996,Wind,75033.46,NLD
New Zealand,2023,Hydro,1942.9175,46630.02,Hydro,68860.14,NZL
New Zealand,2023,Coal-Peat and Manufactured Gases,286.027,234542.14,Coal-Peat and Manufactured Gases,11389.625,NZL
New Zealand,2023,Natural Gas,206.8596,101361.204,Natural Gas,38054.76,NZL
New Zealand,2023,Combustible Renewables,69.3047,15940.081,,,
New Zealand,2023,Geothermal,672.679,25561.802,,,
New Zealand,2023,Solar,37.123,1781.9039999999998,Solar,976.44913,NZL
New Zealand,2023,Not Specified,3.3096,,,,
New Zealand,2023,Wind,346.0616,3979.7084,Wind,8386.54,NZL
Norway,2023,Hydro,12263.7021,294328.85040000005,Hydro,353476.32,NOR
Norway,2023,Coal-Peat and Manufactured Gases,15.089,12372.98,Coal-Peat and Manufactured Gases,9616.215,NOR
Norway,2023,Oil and Petroleum Products,17.3775,12511.8,Oil and Petroleum Products,106811.356,NOR
Norway,2023,Combustible Renewables,15.6213,3592.899,,,
Norway,2023,Other Combustible Non-Renewables,123.6894,101425.308,,,
Norway,2023,Solar,0.5897,28.3056,Solar,1338.9578,NOR
Norway,2023,Not Specified,38.6858,,,,
Norway,2023,Wind,1481.1581,17033.318150000003,Wind,36275.948,NOR
Poland,2023,Hydro,347.8737,8348.9688,Hydro,6224.8344,POL
Poland,2023,Coal-Peat and Manufactured Gases,8497.0627,6967591.414,Coal-Peat and Manufactured Gases,418319.2,POL
Poland,2023,Oil and Petroleum Products,0.0,0.0,Oil and Petroleum Products,390331.94,POL
Poland,2023,Natural Gas,1704.9652,835432.948,Natural Gas,195827.13,POL
Poland,2023,Combustible Renewables,680.7208,156565.784,,,
Poland,2023,Other Combustible Non-Renewables,51.9051,42562.182,,,
Poland,2023,Solar,143.0066,6864.3168,Solar,30311.495,POL
Poland,2023,Not Specified,4.7718,,,,
Poland,2023,Wind,3256.5157,37449.93055,Wind,62681.602,POL
Portugal,2023,Hydro,2126.9621,51047.09040000001,Hydro,31429.11,PRT
Portugal,2023,Oil and Petroleum Products,99.3504,71532.288,Oil and Petroleum Products,123635.76000000001,PRT
Portugal,2023,Natural Gas,570.302,279447.98,Natural Gas,44804.909999999996,PRT
Portugal,2023,Combustible Renewables,245.588,56485.24,,,
Portugal,2023,Other Combustible Non-Renewables,10.9589,8986.298,,,
Portugal,2023,Geothermal,14.1193,536.5334,,,
Portugal,2023,Solar,295.3324,14175.9552,Solar,14219.602,PRT
Portugal,2023,Wind,1223.3188,14068.1662,Wind,34177.437,PRT
Slovak Republic,2023,Nuclear,1692.3573,20308.287599999996,,,
Slovak Republic,2023,Hydro,523.5144,12564.345600000002,,,
Slovak Republic,2023,Coal-Peat and Manufactured Gases,79.0358,64809.35599999999,,,
Slovak Republic,2023,Oil and Petroleum Products,30.4404,21917.088,,,
Slovak Republic,2023,Natural Gas,187.5372,91893.228,,,
Slovak Republic,2023,Combustible Renewables,136.3576,31362.247999999996,,,
Slovak Republic,2023,Other Combustible Non-Renewables,7.3902,6059.964,,,
Slovak Republic,2023,Solar,13.0603,626.8944,,,
Slovak Republic,2023,Not Specified,0.7368,,,,
Slovenia,2023,Nuclear,518.576,6222.912,Nuclear,13966.646,SVN
Slovenia,2023,Hydro,487.8611,11708.6664,Hydro,12914.51,SVN
Slovenia,2023,Coal-Peat and Manufactured Gases,234.4387,192239.734,Coal-Peat and Manufactured Gases,7972.685,SVN
Slovenia,2023,Oil and Petroleum Products,0.2142,154.224,Oil and Petroleum Products,25042.611999999997,SVN
Slovenia,2023,Natural Gas,55.1885,27042.365,Natural Gas,7666.729,SVN
Slovenia,2023,Combustible Renewables,28.0795,6458.285,,,
Slovenia,2023,Other Combustible Non-Renewables,0.6748,553.336,,,
Slovenia,2023,Solar,43.1917,2073.2016,Solar,2804.6758,SVN
Slovenia,2023,Wind,0.3738,4.2987,Wind,16.689721000000002,SVN
Spain,2023,Nuclear,4990.1968,59882.3616,Nuclear,141595.57,ESP
Spain,2023,Hydro,4442.146,106611.504,Hydro,66175.545,ESP
Spain,2023,Coal-Peat and Manufactured Gases,228.714,187545.48,Coal-Peat and Manufactured Gases,32931.664,ESP
Spain,2023,Oil and Petroleum Products,850.9812,612706.464,Oil and Petroleum Products,713415.1000000001,ESP
Spain,2023,Natural Gas,4029.3155,1974364.595,Natural Gas,292983.06,ESP
Spain,2023,Combustible Renewables,390.1601,89736.823,,,
Spain,2023,Other Combustible Non-Renewables,50.588,41482.16,,,
Spain,2023,Solar,2153.6886,103377.05279999999,Solar,121693.33,ESP
Spain,2023,Other Renewables,1.75,42.0,Other Renewables,17261.862,ESP
Spain,2023,Not Specified,21.8333,,,,
Spain,2023,Wind,5824.8577,66985.86355,Wind,166841.35,ESP
Sweden,2023,Nuclear,4959.0,59508.0,Nuclear,120729.94,SWE
Sweden,2023,Hydro,6788.7399,162929.75759999998,Hydro,171543.47,SWE
Sweden,2023,Coal-Peat and Manufactured Gases,49.5291,40613.862,Coal-Peat and Manufactured Gases,18115.417,SWE
Sweden,2023,Oil and Petroleum Products,33.7698,24314.255999999998,Oil and Petroleum Products,129499.9,SWE
Sweden,2023,Natural Gas,12.9085,6325.165,Natural Gas,7161.9916,SWE
Sweden,2023,Combustible Renewables,1164.6186,267862.278,,,
Sweden,2023,Other Combustible Non-Renewables,294.4778,241471.796,,,
Sweden,2023,Solar,7.9016,379.2768,Solar,8047.557,SWE
Sweden,2023,Wind,2893.3117,33273.08455,Wind,89153.076,SWE
Switzerland,2023,Nuclear,2206.0,26472.0,Nuclear,58164.8,CHE
Switzerland,2023,Hydro,3251.0,78024.0,Hydro,96061.21,CHE
Switzerland,2023,Oil and Petroleum Products,6.5743,4733.496,Oil and Petroleum Products,107380.36,CHE
Switzerland,2023,Natural Gas,26.2309,12853.141,Natural Gas,27441.227000000003,CHE
Switzerland,2023,Combustible Renewables,185.1516,42584.868,,,
Switzerland,2023,Other Combustible Non-Renewables,97.487,79939.34,,,
Switzerland,2023,Solar,114.3408,5488.3584,Solar,15699.9235,CHE
Switzerland,2023,Wind,22.9531,263.96065,Wind,436.41028,CHE
Republic of Turkiye,2023,Hydro,6118.2438,146837.8512,Hydro,165871.66999999998,TUR
Republic of Turkiye,2023,Coal-Peat and Manufactured Gases,9767.3314,8009211.747999999,Coal-Peat and Manufactured Gases,458098.18,TUR
