Country,Year,Energy Type,consumption (GWh)
Algeria,2015,Solar,156.19250000000002
Algeria,2015,Nuclear,0.0
Algeria,2015,Biofuels,
Algeria,2015,Other Renewables,0.0
Algeria,2015,Coal-Peat and Manufactured Gases,1546.7899
Algeria,2015,Oil and Petroleum Products,236148.48
Algeria,2015,Natural Gas,379225.0
Algeria,2016,Wind,51.003054
Algeria,2016,Hydro,192.74665
Algeria,2016,Solar,655.87413
Algeria,2016,Nuclear,0.0
Algeria,2016,Biofuels,
Algeria,2016,Other Renewables,0.0
Algeria,2016,Coal-Peat and Manufactured Gases,569.87
Algeria,2016,Oil and Petroleum Products,229563.84
Algeria,2016,Natural Gas,385962.5
Algeria,2017,Wind,50.564446
Algeria,2017,Hydro,149.03222
Algeria,2017,Solar,1341.2902
Algeria,2017,Nuclear,0.0
Algeria,2017,Biofuels,
Algeria,2017,Other Renewables,0.0
Algeria,2017,Coal-Peat and Manufactured Gases,2116.6599
Algeria,2017,Oil and Petroleum Products,225512.12000000002
Algeria,2017,Natural Gas,394625.0
Algeria,2018,Wind,26.457275999999997
Algeria,2018,Hydro,309.55
Algeria,2018,Solar,1595.3735
Algeria,2018,Nuclear,0.0
Algeria,2018,Biofuels,
Algeria,2018,Other Renewables,0.0
Algeria,2018,Coal-Peat and Manufactured Gases,5815.0
Algeria,2018,Oil and Petroleum Products,227785.9
Algeria,2018,Natural Gas,434087.5
Algeria,2019,Wind,26.35972
Algeria,2019,Hydro,400.66776
Algeria,2019,Solar,1621.1231
Algeria,2019,Nuclear,0.0
Algeria,2019,Biofuels,
Algeria,2019,Other Renewables,0.0
Algeria,2019,Coal-Peat and Manufactured Gases,4803.19
Algeria,2019,Oil and Petroleum Products,236951.30000000002
Algeria,2019,Natural Gas,450546.23
Algeria,2020,Wind,20.222416
Algeria,2020,Hydro,130.26388
Algeria,2020,Solar,1799.008
Algeria,2020,Nuclear,0.0
Algeria,2020,Biofuels,
Algeria,2020,Other Renewables,0.0
Algeria,2020,Coal-Peat and Manufactured Gases,1523.53
Algeria,2020,Oil and Petroleum Products,211925.43
Algeria,2020,Natural Gas,433500.37
Algeria,2021,Wind,27.475111
Algeria,2021,Hydro,24.335083
Algeria,2021,Solar,1737.4732
Algeria,2021,Nuclear,0.0
Algeria,2021,Biofuels,
Algeria,2021,Other Renewables,0.0
Algeria,2021,Coal-Peat and Manufactured Gases,3105.21
Algeria,2021,Oil and Petroleum Products,221203.69
Algeria,2021,Natural Gas,481529.10000000003
Algeria,2022,Wind,41.71417
Algeria,2022,Hydro,41.71417
Algeria,2022,Solar,1692.0305
Algeria,2022,Nuclear,0.0
Algeria,2022,Biofuels,
Algeria,2022,Other Renewables,0.0
Algeria,2022,Coal-Peat and Manufactured Gases,2174.81
Algeria,2022,Oil and Petroleum Products,226853.37999999998
Algeria,2022,Natural Gas,503387.48
Algeria,2023,Wind,41.5625
Algeria,2023,Hydro,178.66722
Algeria,2023,Solar,1685.8824
Algeria,2023,Nuclear,0.0
Algeria,2023,Biofuels,
Algeria,2023,Other Renewables,0.0
Algeria,2023,Coal-Peat and Manufactured Gases,1932.9839
Algeria,2023,Oil and Petroleum Products,238201.16999999998
Algeria,2023,Natural Gas,462962.46
Angola,1965,Wind,
Angola,1965,Hydro,
Angola,1965,Solar,
Angola,1965,Nuclear,0.0
Angola,1965,Biofuels,
Angola,1965,Other Renewables,
Angola,1965,Coal-Peat and Manufactured Gases,
Angola,1965,Oil and Petroleum Products,
Angola,1965,Natural Gas,
Angola,1966,Wind,
Angola,1966,Hydro,
Angola,1966,Solar,
Angola,1966,Nuclear,0.0
Angola,1966,Biofuels,
Angola,1966,Other Renewables,
Angola,1966,Coal-Peat and Manufactured Gases,
Angola,1966,Oil and Petroleum Products,
Angola,1966,Natural Gas,
Angola,1967,Wind,
Angola,1967,Hydro,
Angola,1967,Solar,
Angola,1967,Nuclear,0.0
Angola,1967,Biofuels,
Angola,1967,Other Renewables,
Angola,1967,Coal-Peat and Manufactured Gases,
Angola,1967,Oil and Petroleum Products,
Angola,1967,Natural Gas,
Angola,1968,Wind,
Angola,1968,Hydro,
Angola,1968,Solar,
Angola,1968,Nuclear,0.0
Angola,1968,Biofuels,
Angola,1968,Other Renewables,
Angola,1968,Coal-Peat and Manufactured Gases,
Angola,1968,Oil and Petroleum Products,
Angola,1968,Natural Gas,
Angola,1969,Wind,
Angola,1969,Hydro,
Angola,1969,Solar,
Angola,1969,Nuclear,0.0
Angola,1969,Biofuels,
Angola,1969,Other Renewables,
Angola,1969,Coal-Peat and Manufactured Gases,
Angola,1969,Oil and Petroleum Products,
Angola,1969,Natural Gas,
Angola,1970,Wind,
Angola,1970,Hydro,
Angola,1970,Solar,
Angola,1970,Nuclear,0.0
Angola,1970,Biofuels,
Angola,1970,Other Renewables,
Angola,1970,Coal-Peat and Manufactured Gases,
Angola,1970,Oil and Petroleum Products,
Angola,1970,Natural Gas,
Angola,1971,Wind,
Angola,1971,Hydro,
Angola,1971,Solar,
Angola,1971,Nuclear,0.0
Angola,1971,Biofuels,
Angola,1971,Other Renewables,
Angola,1971,Coal-Peat and Manufactured Gases,
Angola,1971,Oil and Petroleum Products,
Angola,1971,Natural Gas,
Angola,1972,Wind,
Angola,1972,Hydro,
Angola,1972,Solar,
Angola,1972,Nuclear,0.0
Angola,1972,Biofuels,
Angola,1972,Other Renewables,
Angola,1972,Coal-Peat and Manufactured Gases,
Angola,1972,Oil and Petroleum Products,
Angola,1972,Natural Gas,
Angola,1973,Wind,
Angola,1973,Hydro,
Angola,1973,Solar,
Angola,1973,Nuclear,0.0
Angola,1973,Biofuels,
Angola,1973,Other Renewables,
Angola,1973,Coal-Peat and Manufactured Gases,
Angola,1973,Oil and Petroleum Products,
Angola,1973,Natural Gas,
Angola,1974,Wind,
Angola,1974,Hydro,
Angola,1974,Solar,
Angola,1974,Nuclear,0.0
Angola,1974,Biofuels,
Angola,1974,Other Renewables,
Angola,1974,Coal-Peat and Manufactured Gases,
Angola,1974,Oil and Petroleum Products,
Angola,1974,Natural Gas,
Angola,1975,Wind,
Angola,1975,Hydro,
Angola,1975,Solar,
Angola,1975,Nuclear,0.0
Angola,1975,Biofuels,
Angola,1975,Other Renewables,
Angola,1975,Coal-Peat and Manufactured Gases,
Angola,1975,Oil and Petroleum Products,
Angola,1975,Natural Gas,
Angola,1976,Wind,
Angola,1976,Hydro,
Angola,1976,Solar,
Angola,1976,Nuclear,0.0
Angola,1976,Biofuels,
Angola,1976,Other Renewables,
Angola,1976,Coal-Peat and Manufactured Gases,
Angola,1976,Oil and Petroleum Products,
Angola,1976,Natural Gas,
Angola,1977,Wind,
Angola,1977,Hydro,
Angola,1977,Solar,
Angola,1977,Nuclear,0.0
Angola,1977,Biofuels,
Angola,1977,Other Renewables,
Angola,1977,Coal-Peat and Manufactured Gases,
Angola,1977,Oil and Petroleum Products,
Angola,1977,Natural Gas,
Angola,1978,Wind,
Angola,1978,Hydro,
Angola,1978,Solar,
Angola,1978,Nuclear,0.0
Angola,1978,Biofuels,
Angola,1978,Other Renewables,
Angola,1978,Coal-Peat and Manufactured Gases,
Angola,1978,Oil and Petroleum Products,
Angola,1978,Natural Gas,
Angola,1979,Wind,
Angola,1979,Hydro,
Angola,1979,Solar,
Angola,1979,Nuclear,0.0
Angola,1979,Biofuels,
Angola,1979,Other Renewables,
Angola,1979,Coal-Peat and Manufactured Gases,
Angola,1979,Oil and Petroleum Products,
Angola,1979,Natural Gas,
Angola,1980,Wind,
Angola,1980,Hydro,
Angola,1980,Solar,
Angola,1980,Nuclear,0.0
Angola,1980,Biofuels,
Angola,1980,Other Renewables,
Angola,1980,Coal-Peat and Manufactured Gases,
Angola,1980,Oil and Petroleum Products,
Angola,1980,Natural Gas,
Angola,1981,Wind,
Angola,1981,Hydro,
Angola,1981,Solar,
Angola,1981,Nuclear,0.0
Angola,1981,Biofuels,
Angola,1981,Other Renewables,
Angola,1981,Coal-Peat and Manufactured Gases,
Angola,1981,Oil and Petroleum Products,
Angola,1981,Natural Gas,
Angola,1982,Wind,
Angola,1982,Hydro,
Angola,1982,Solar,
Angola,1982,Nuclear,0.0
Angola,1982,Biofuels,
Angola,1982,Other Renewables,
Angola,1982,Coal-Peat and Manufactured Gases,
Angola,1982,Oil and Petroleum Products,
Angola,1982,Natural Gas,
Angola,1983,Wind,
Angola,1983,Hydro,
Angola,1983,Solar,
Angola,1983,Nuclear,0.0
Angola,1983,Biofuels,
Angola,1983,Other Renewables,
Angola,1983,Coal-Peat and Manufactured Gases,
Angola,1983,Oil and Petroleum Products,
