Country,Balance,Product,Value,Unit,Year
Germany,Net Electricity Production,Oil and Petroleum Products,364.6108,GWh,2024
Germany,Net Electricity Production,Natural Gas,9088.4255,GWh,2024
Germany,Net Electricity Production,Combustible Renewables,3743.6009,GWh,2024
Germany,Net Electricity Production,Geothermal,12.6083,GWh,2024
Germany,Net Electricity Production,Other Combustible Non-Renewables,446.2835,GWh,2024
Germany,Net Electricity Production,Solar,1795.6953,GWh,2024
Germany,Net Electricity Production,Not Specified,154.4236,GWh,2024
Germany,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',19435.5856,GWh,2024
Germany,Total Imports,Electricity,6673.8914,GWh,2024
Germany,Total Exports,Electricity,5428.9224,GWh,2024
Germany,Used for pumped storage,Electricity,686.8464,GWh,2024
Germany,Distribution Losses,Electricity,2425.3587,GWh,2024
Germany,Final Consumption (Calculated),Electricity,39497.5138,GWh,2024
Germany,Net Electricity Production,Wind,12006.0544,GWh,2024
Greece,Net Electricity Production,Electricity,4610.809,GWh,2024
Greece,Net Electricity Production,Total Combustible Fuels,2788.8361,GWh,2024
Greece,Net Electricity Production,Hydro,154.0976,GWh,2024
Greece,Net Electricity Production,Coal-Peat and Manufactured Gases,404.3286,GWh,2024
Greece,Net Electricity Production,Oil and Petroleum Products,284.4862,GWh,2024
Greece,Net Electricity Production,Natural Gas,2029.1045,GWh,2024
Greece,Net Electricity Production,Combustible Renewables,66.4827,GWh,2024
Greece,Net Electricity Production,Other Combustible Non-Renewables,4.4341,GWh,2024
Greece,Net Electricity Production,Solar,547.0897,GWh,2024
Greece,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',1888.4556,GWh,2024
Greece,Total Imports,Electricity,205.8572,GWh,2024
Greece,Total Exports,Electricity,852.3325,GWh,2024
Greece,Used for pumped storage,Electricity,44.3466,GWh,2024
Greece,Distribution Losses,Electricity,413.0842,GWh,2024
Greece,Final Consumption (Calculated),Electricity,3506.903,GWh,2024
Greece,Net Electricity Production,Wind,1120.7856,GWh,2024
Hungary,Net Electricity Production,Electricity,3122.2864,GWh,2024
Hungary,Net Electricity Production,Nuclear,1399.9487,GWh,2024
Hungary,Net Electricity Production,Hydro,17.1249,GWh,2024
Hungary,Net Electricity Production,Total Combustible Fuels,1253.6152,GWh,2024
Hungary,Net Electricity Production,Coal-Peat and Manufactured Gases,184.2352,GWh,2024
Hungary,Net Electricity Production,Oil and Petroleum Products,19.9549,GWh,2024
Hungary,Net Electricity Production,Natural Gas,860.4246,GWh,2024
Hungary,Net Electricity Production,Combustible Renewables,165.3651,GWh,2024
Hungary,Net Electricity Production,Geothermal,0.6968,GWh,2024
Hungary,Net Electricity Production,Other Combustible Non-Renewables,23.6354,GWh,2024
Hungary,Net Electricity Production,Solar,397.1161,GWh,2024
Hungary,Net Electricity Production,Not Specified,5.78,GWh,2024
Hungary,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',628.3076,GWh,2024
Hungary,Total Imports,Electricity,2040.5801,GWh,2024
Hungary,Total Exports,Electricity,993.2257,GWh,2024
Hungary,Distribution Losses,Electricity,257.0779,GWh,2024
Hungary,Final Consumption (Calculated),Electricity,3912.5629,GWh,2024
Hungary,Net Electricity Production,Wind,48.0047,GWh,2024
Iceland,Remarks,Data is estimated for this month,,GWh,2024
Iceland,Net Electricity Production,Electricity,1529.1078,GWh,2024
Iceland,Net Electricity Production,Total Combustible Fuels,0.1677,GWh,2024
Iceland,Net Electricity Production,Hydro,1122.9641,GWh,2024
Iceland,Net Electricity Production,Oil and Petroleum Products,0.1677,GWh,2024
Iceland,Net Electricity Production,Geothermal,404.6227,GWh,2024
Iceland,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',1528.9401,GWh,2024
Iceland,Distribution Losses,Electricity,41.9187,GWh,2024
Iceland,Final Consumption (Calculated),Electricity,1487.189,GWh,2024
Iceland,Net Electricity Production,Wind,1.3534,GWh,2024
Ireland,Net Electricity Production,Electricity,2824.0264,GWh,2024
Ireland,Net Electricity Production,Total Combustible Fuels,1852.2213,GWh,2024
Ireland,Net Electricity Production,Hydro,82.0866,GWh,2024
Ireland,Net Electricity Production,Coal-Peat and Manufactured Gases,78.9465,GWh,2024
Ireland,Net Electricity Production,Oil and Petroleum Products,29.1483,GWh,2024
Ireland,Net Electricity Production,Natural Gas,1581.3786,GWh,2024
Ireland,Net Electricity Production,Combustible Renewables,155.2926,GWh,2024
Ireland,Net Electricity Production,Other Combustible Non-Renewables,7.4554,GWh,2024
Ireland,Net Electricity Production,Solar,3.3496,GWh,2024
Ireland,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',1127.0977,GWh,2024
Ireland,Total Imports,Electricity,394.3733,GWh,2024
Ireland,Total Exports,Electricity,27.4499,GWh,2024
Ireland,Used for pumped storage,Electricity,45.7163,GWh,2024
Ireland,Distribution Losses,Electricity,232.6961,GWh,2024
Ireland,Final Consumption (Calculated),Electricity,2912.5373,GWh,2024
Ireland,Net Electricity Production,Wind,886.3688,GWh,2024
Italy,Net Electricity Production,Electricity,21327.8428,GWh,2024
Italy,Net Electricity Production,Hydro,3248.6853,GWh,2024
Italy,Net Electricity Production,Total Combustible Fuels,13830.4541,GWh,2024
Italy,Net Electricity Production,Coal-Peat and Manufactured Gases,1699.3069,GWh,2024
Italy,Net Electricity Production,Oil and Petroleum Products,903.3042,GWh,2024
Italy,Net Electricity Production,Natural Gas,9933.8179,GWh,2024
